### 未闻花名	简谱 | 频率

时间 (秒)     | 原始频率      | 简化音符
7.53            | 277.18          | Do (C4)
7.59            | 280.40          | Re (D4)
7.63            | 318.40          | Mi (E4)
7.65            | 351.25          | Fa (F4)
7.79            | 372.14          | So (G4)
7.99            | 417.71          | La (A4)
8.10            | 415.30          | So (G4)
8.12            | 425.01          | La (A4)
8.16            | 415.30          | So (G4)
8.22            | 417.71          | La (A4)
8.37            | 468.86          | Ti (B4)
8.49            | 463.48          | La (A4)
8.51            | 468.86          | Ti (B4)
8.54            | 466.16          | La (A4)
8.60            | 468.86          | Ti (B4)
8.72            | 466.16          | La (A4)
8.81            | 468.86          | Ti (B4)
8.87            | 466.16          | La (A4)
9.06            | 468.86          | Ti (B4)
9.07            | 466.16          | La (A4)
9.08            | 468.86          | Ti (B4)
9.29            | 466.16          | La (A4)
9.45            | 477.06          | Ti (B4)
9.49            | 466.16          | La (A4)
9.71            | 567.32          | Do (C5)
10.16           | 466.16          | La (A4)
10.18           | 468.86          | Ti (B4)
10.27           | 463.48          | La (A4)
10.47           | 471.58          | Ti (B4)
10.75           | 466.16          | La (A4)
10.94           | 468.86          | Ti (B4)
11.03           | 466.16          | La (A4)
11.05           | 468.86          | Ti (B4)
11.16           | 466.16          | La (A4)
11.23           | 415.30          | So (G4)
11.31           | 417.71          | La (A4)
11.37           | 415.30          | So (G4)
11.63           | 367.86          | Fa (F4)
11.71           | 372.14          | So (G4)
11.80           | 437.47          | La (A4)
11.91           | 415.30          | So (G4)
11.92           | 417.71          | La (A4)
11.94           | 415.30          | So (G4)
11.95           | 420.13          | La (A4)
12.10           | 471.58          | Ti (B4)
12.17           | 466.16          | La (A4)
12.26           | 468.86          | Ti (B4)
12.32           | 466.16          | La (A4)
12.65           | 468.86          | Ti (B4)
12.70           | 466.16          | La (A4)
12.97           | 468.86          | Ti (B4)
13.04           | 466.16          | La (A4)
13.40           | 468.86          | Ti (B4)
13.49           | 466.16          | La (A4)
13.53           | 468.86          | Ti (B4)
13.58           | 466.16          | La (A4)
13.70           | 468.86          | Ti (B4)
14.11           | 72.15           | Do (C4)
14.78           | 427.47          | La (A4)
14.79           | 415.30          | So (G4)
14.95           | 417.71          | La (A4)
15.06           | 471.58          | Ti (B4)
15.12           | 466.16          | La (A4)
15.42           | 415.30          | So (G4)
15.63           | 367.86          | Fa (F4)
15.70           | 372.14          | So (G4)
15.95           | 365.74          | Fa (F4)
16.21           | 372.14          | So (G4)
16.59           | 369.99          | Fa (F4)
16.60           | 372.14          | So (G4)
16.75           | 369.99          | Fa (F4)
17.07           | 372.14          | So (G4)
17.09           | 369.99          | Fa (F4)
17.16           | 372.14          | So (G4)
17.21           | 369.99          | Fa (F4)
17.40           | 372.14          | So (G4)
17.46           | 369.99          | Fa (F4)
17.57           | 183.93          | Do (C4)
18.38           | 420.13          | La (A4)
18.40           | 415.30          | So (G4)
18.56           | 417.71          | La (A4)
18.67           | 468.86          | Ti (B4)
18.77           | 466.16          | La (A4)
19.13           | 369.99          | Fa (F4)
19.14           | 372.14          | So (G4)
19.20           | 369.99          | Fa (F4)
19.28           | 372.14          | So (G4)
19.37           | 367.86          | Fa (F4)
19.77           | 372.14          | So (G4)
19.83           | 369.99          | Fa (F4)
19.98           | 372.14          | So (G4)
19.99           | 369.99          | Fa (F4)
20.51           | 372.14          | So (G4)
20.70           | 124.19          | Do (C4)
41.24           | 316.57          | Mi (E4)
41.29           | 347.22          | Fa (F4)
41.33           | 372.14          | So (G4)
41.68           | 361.54          | Fa (F4)
41.73           | 372.14          | So (G4)
41.83           | 369.99          | Fa (F4)
41.90           | 383.04          | So (G4)
42.12           | 369.99          | Fa (F4)
42.36           | 372.14          | So (G4)
42.50           | 367.86          | Fa (F4)
42.85           | 335.39          | Mi (E4)
42.88           | 293.66          | Re (D4)
42.90           | 270.85          | Do (C4)
42.98           | 282.03          | Re (D4)
43.06           | 277.18          | Do (C4)
43.08           | 278.79          | Re (D4)
43.10           | 277.18          | Do (C4)
43.11           | 278.79          | Re (D4)
43.80           | 277.18          | Do (C4)
43.84           | 278.79          | Re (D4)
44.03           | 374.29          | So (G4)
44.28           | 367.86          | Fa (F4)
44.37           | 372.14          | So (G4)
44.38           | 369.99          | Fa (F4)
44.41           | 372.14          | So (G4)
44.76           | 369.99          | Fa (F4)
44.79           | 372.14          | So (G4)
44.80           | 369.99          | Fa (F4)
44.95           | 372.14          | So (G4)
45.49           | 369.99          | Fa (F4)
45.69           | 376.46          | So (G4)
45.80           | 369.99          | Fa (F4)
45.89           | 312.93          | Mi (E4)
45.99           | 380.84          | So (G4)
46.05           | 369.99          | Fa (F4)
46.35           | 333.46          | Mi (E4)
46.38           | 304.02          | Re (D4)
46.41           | 266.20          | Do (C4)
46.54           | 278.79          | Re (D4)
46.70           | 277.18          | Do (C4)
46.71           | 280.40          | Re (D4)
46.82           | 275.59          | Do (C4)
46.85           | 278.79          | Re (D4)
46.90           | 314.74          | Mi (E4)
47.33           | 277.18          | Do (C4)
47.35           | 278.79          | Re (D4)
47.37           | 277.18          | Do (C4)
47.60           | 367.86          | Fa (F4)
47.66           | 372.14          | So (G4)
47.96           | 367.86          | Fa (F4)
48.03           | 372.14          | So (G4)
48.45           | 369.99          | Fa (F4)
48.84           | 372.14          | So (G4)
49.15           | 369.99          | Fa (F4)
49.21           | 372.14          | So (G4)
49.26           | 429.95          | La (A4)
49.33           | 415.30          | So (G4)
49.40           | 417.71          | La (A4)
49.45           | 415.30          | So (G4)
49.50           | 353.29          | Fa (F4)
49.52           | 335.39          | Mi (E4)
49.55           | 300.53          | Re (D4)
49.60           | 272.42          | Do (C4)
49.82           | 278.79          | Re (D4)
50.05           | 275.59          | Do (C4)
50.12           | 278.79          | Re (D4)
50.17           | 277.18          | Do (C4)
50.18           | 283.66          | Re (D4)
50.69           | 277.18          | Do (C4)
50.72           | 278.79          | Re (D4)
50.78           | 277.18          | Do (C4)
51.26           | 278.79          | Re (D4)
51.33           | 277.18          | Do (C4)
51.39           | 278.79          | Re (D4)
51.51           | 312.93          | Mi (E4)
51.66           | 311.13          | Re (D4)
52.00           | 312.93          | Mi (E4)
52.01           | 309.34          | Re (D4)
52.13           | 312.93          | Mi (E4)
52.16           | 311.13          | Re (D4)
52.31           | 312.93          | Mi (E4)
52.50           | 79.14           | Do (C4)
55.39           | 374.29          | So (G4)
55.52           | 365.74          | Fa (F4)
55.68           | 372.14          | So (G4)
56.05           | 369.99          | Fa (F4)
56.15           | 372.14          | So (G4)
56.25           | 369.99          | Fa (F4)
56.65           | 372.14          | So (G4)
56.74           | 369.99          | Fa (F4)
56.78           | 372.14          | So (G4)
56.94           | 369.99          | Fa (F4)
57.14           | 339.29          | Mi (E4)
57.17           | 304.02          | Re (D4)
57.28           | 277.18          | Do (C4)
57.34           | 290.29          | Re (D4)
57.46           | 277.18          | Do (C4)
57.54           | 280.40          | Re (D4)
58.12           | 274.00          | Do (C4)
58.13           | 278.79          | Re (D4)
58.19           | 264.67          | Do (C4)
58.68           | 378.64          | So (G4)
58.75           | 369.99          | Fa (F4)
58.96           | 374.29          | So (G4)
59.08           | 369.99          | Fa (F4)
59.28           | 374.29          | So (G4)
59.66           | 369.99          | Fa (F4)
59.76           | 372.14          | So (G4)
60.04           | 333.46          | Mi (E4)
60.06           | 345.22          | Fa (F4)
60.16           | 372.14          | So (G4)
60.28           | 369.99          | Fa (F4)
60.31           | 372.14          | So (G4)
60.41           | 369.99          | Fa (F4)
60.44           | 339.29          | Mi (E4)
60.45           | 341.25          | Fa (F4)
60.46           | 376.46          | So (G4)
60.50           | 367.86          | Fa (F4)
60.70           | 339.29          | Mi (E4)
60.73           | 305.78          | Re (D4)
60.89           | 272.42          | Do (C4)
60.96           | 280.40          | Re (D4)
61.03           | 275.59          | Do (C4)
61.10           | 278.79          | Re (D4)
61.18           | 274.00          | Do (C4)
62.28           | 380.84          | So (G4)
62.39           | 369.99          | Fa (F4)
62.62           | 372.14          | So (G4)
62.73           | 367.86          | Fa (F4)
62.84           | 372.14          | So (G4)
63.25           | 369.99          | Fa (F4)
63.31           | 372.14          | So (G4)
63.32           | 369.99          | Fa (F4)
63.39           | 372.14          | So (G4)
63.44           | 369.99          | Fa (F4)
63.59           | 447.69          | La (A4)
63.65           | 415.30          | So (G4)
63.73           | 417.71          | La (A4)
63.92           | 286.96          | Re (D4)
63.95           | 274.00          | Do (C4)
65.93           | 312.93          | Mi (E4)
65.94           | 311.13          | Re (D4)
66.06           | 312.93          | Mi (E4)
66.08           | 311.13          | Re (D4)
66.20           | 277.18          | Do (C4)
66.29           | 282.03          | Re (D4)
66.35           | 312.93          | Mi (E4)
66.41           | 311.13          | Re (D4)
66.50           | 314.74          | Mi (E4)
66.59           | 311.13          | Re (D4)
66.66           | 312.93          | Mi (E4)
66.75           | 305.78          | Re (D4)
67.13           | 312.93          | Mi (E4)
68.15           | 78.23           | Do (C4)
84.67           | 417.71          | La (A4)
84.69           | 412.91          | So (G4)
84.83           | 417.71          | La (A4)
85.17           | 70.10           | Do (C4)
88.11           | 278.79          | Re (D4)
88.14           | 277.18          | Do (C4)
88.18           | 278.79          | Re (D4)
88.28           | 275.59          | Do (C4)
88.34           | 278.79          | Re (D4)
88.47           | 275.59          | Do (C4)
91.81           | 403.48          | So (G4)
91.96           | 417.71          | La (A4)
92.08           | 468.86          | Ti (B4)
92.32           | 70.10           | Do (C4)
93.20           | 314.74          | Mi (E4)
93.38           | 291.97          | Re (D4)
93.44           | 314.74          | Mi (E4)
93.56           | 288.62          | Re (D4)
93.62           | 316.57          | Mi (E4)
93.65           | 372.14          | So (G4)
93.72           | 417.71          | La (A4)
94.17           | 91.97           | Do (C4)
97.14           | 278.79          | Re (D4)
97.19           | 318.40          | Mi (E4)
97.21           | 363.64          | Fa (F4)
97.25           | 372.14          | So (G4)
97.38           | 367.86          | Fa (F4)
97.40           | 337.33          | Mi (E4)
97.41           | 341.25          | Fa (F4)
97.45           | 440.00          | La (A4)
97.50           | 415.30          | So (G4)
97.55           | 417.71          | La (A4)
97.61           | 415.30          | So (G4)
97.81           | 70.51           | Do (C4)
133.60          | 312.93          | Mi (E4)
133.69          | 311.13          | Re (D4)
133.89          | 312.93          | Mi (E4)
134.01          | 311.13          | Re (D4)
134.10          | 320.24          | Mi (E4)
134.58          | 264.67          | Do (C4)
134.63          | 282.03          | Re (D4)
134.88          | 312.93          | Mi (E4)
135.00          | 311.13          | Re (D4)
135.05          | 275.59          | Do (C4)
135.08          | 278.79          | Re (D4)
135.13          | 277.18          | Do (C4)
135.14          | 282.03          | Re (D4)
135.26          | 314.74          | Mi (E4)
135.31          | 311.13          | Re (D4)
135.33          | 312.93          | Mi (E4)
135.35          | 311.13          | Re (D4)
135.36          | 312.93          | Mi (E4)
135.37          | 311.13          | Re (D4)
135.45          | 312.93          | Mi (E4)
135.47          | 311.13          | Re (D4)
135.50          | 316.57          | Mi (E4)
135.53          | 347.22          | Fa (F4)
135.87          | 327.73          | Mi (E4)
135.88          | 309.34          | Re (D4)
136.01          | 312.93          | Mi (E4)
136.15          | 341.25          | Fa (F4)
136.43          | 295.37          | Re (D4)
136.46          | 312.93          | Mi (E4)
136.58          | 387.49          | So (G4)
136.59          | 367.86          | Fa (F4)
137.04          | 337.33          | Mi (E4)
137.09          | 345.22          | Fa (F4)
137.38          | 376.46          | So (G4)
137.46          | 369.99          | Fa (F4)
137.76          | 412.91          | So (G4)
137.81          | 369.99          | Fa (F4)
137.97          | 372.14          | So (G4)
138.09          | 369.99          | Fa (F4)
138.23          | 257.13          | Do (C4)
138.32          | 278.79          | Re (D4)
138.43          | 277.18          | Do (C4)
138.57          | 278.79          | Re (D4)
138.63          | 277.18          | Do (C4)
138.86          | 297.08          | Re (D4)
138.87          | 277.18          | Do (C4)
138.97          | 278.79          | Re (D4)
139.10          | 277.18          | Do (C4)
139.12          | 278.79          | Re (D4)
139.18          | 275.59          | Do (C4)
139.26          | 322.10          | Mi (E4)
139.34          | 311.13          | Re (D4)
139.45          | 312.93          | Mi (E4)
139.48          | 311.13          | Re (D4)
139.55          | 277.18          | Do (C4)
139.68          | 278.79          | Re (D4)
139.78          | 312.93          | Mi (E4)
139.87          | 311.13          | Re (D4)
140.00          | 312.93          | Mi (E4)
140.14          | 138.59          | Do (C4)
140.64          | 282.03          | Re (D4)
140.89          | 312.93          | Mi (E4)
140.93          | 311.13          | Re (D4)
140.96          | 312.93          | Mi (E4)
141.24          | 311.13          | Re (D4)
141.29          | 312.93          | Mi (E4)
141.42          | 186.07          | Do (C4)
141.84          | 298.80          | Re (D4)
141.97          | 316.57          | Mi (E4)
142.20          | 311.13          | Re (D4)
142.34          | 275.59          | Do (C4)
142.42          | 282.03          | Re (D4)
142.48          | 314.74          | Mi (E4)
142.70          | 359.46          | Fa (F4)
142.88          | 333.46          | Mi (E4)
142.90          | 347.22          | Fa (F4)
143.15          | 327.73          | Mi (E4)
143.31          | 347.22          | Fa (F4)
143.74          | 378.64          | So (G4)
143.75          | 357.39          | Fa (F4)
144.03          | 339.29          | Mi (E4)
144.11          | 311.13          | Re (D4)
144.15          | 339.29          | Mi (E4)
144.16          | 355.33          | Fa (F4)
144.70          | 372.14          | So (G4)
144.75          | 369.99          | Fa (F4)
144.78          | 372.14          | So (G4)
144.94          | 365.74          | Fa (F4)
145.18          | 372.14          | So (G4)
145.22          | 369.99          | Fa (F4)
145.39          | 372.14          | So (G4)
145.45          | 369.99          | Fa (F4)
145.60          | 372.14          | So (G4)
146.56          | 187.15          | Do (C4)
147.35          | 417.71          | La (A4)
147.45          | 415.30          | So (G4)
147.53          | 417.71          | La (A4)
147.63          | 468.86          | Ti (B4)
147.70          | 463.48          | La (A4)
147.90          | 415.30          | So (G4)
148.10          | 367.86          | Fa (F4)
148.13          | 372.14          | So (G4)
148.22          | 369.99          | Fa (F4)
148.53          | 325.84          | Mi (E4)
148.60          | 309.34          | Re (D4)
148.64          | 316.57          | Mi (E4)
148.71          | 307.55          | Re (D4)
148.76          | 312.93          | Mi (E4)
149.13          | 425.01          | La (A4)
149.19          | 415.30          | So (G4)
149.30          | 417.71          | La (A4)
149.39          | 471.58          | Ti (B4)
149.47          | 458.16          | La (A4)
149.59          | 403.48          | So (G4)
149.65          | 417.71          | La (A4)
149.88          | 365.74          | Fa (F4)
149.98          | 372.14          | So (G4)
150.18          | 69.70           | Do (C4)
151.00          | 415.30          | So (G4)
151.12          | 417.71          | La (A4)
151.46          | 415.30          | So (G4)
151.64          | 369.99          | Fa (F4)
151.80          | 372.14          | So (G4)
151.96          | 369.99          | Fa (F4)
152.16          | 251.26          | Do (C4)
152.32          | 278.79          | Re (D4)
152.33          | 275.59          | Do (C4)
152.38          | 278.79          | Re (D4)
152.57          | 277.18          | Do (C4)
152.69          | 278.79          | Re (D4)
152.71          | 277.18          | Do (C4)
152.72          | 280.40          | Re (D4)
152.90          | 277.18          | Do (C4)
153.22          | 278.79          | Re (D4)
153.45          | 327.73          | Mi (E4)
153.50          | 311.13          | Re (D4)
153.70          | 312.93          | Mi (E4)
153.72          | 311.13          | Re (D4)
153.88          | 277.18          | Do (C4)
153.99          | 278.79          | Re (D4)
154.49          | 460.81          | La (A4)
154.69          | 468.86          | Ti (B4)
154.99          | 427.47          | La (A4)
155.10          | 415.30          | So (G4)
155.20          | 417.71          | La (A4)
155.23          | 415.30          | So (G4)
155.31          | 417.71          | La (A4)
155.35          | 415.30          | So (G4)
155.56          | 369.99          | Fa (F4)
155.62          | 323.96          | Mi (E4)
155.63          | 309.34          | Re (D4)
155.69          | 318.40          | Mi (E4)
155.78          | 311.13          | Re (D4)
155.85          | 312.93          | Mi (E4)
155.91          | 311.13          | Re (D4)
156.31          | 378.64          | So (G4)
156.47          | 417.71          | La (A4)
156.57          | 468.86          | Ti (B4)
156.63          | 466.16          | La (A4)
156.79          | 408.17          | So (G4)
156.90          | 417.71          | La (A4)
156.99          | 415.30          | So (G4)
157.04          | 365.74          | Fa (F4)
157.06          | 372.14          | So (G4)
157.16          | 369.99          | Fa (F4)
157.23          | 372.14          | So (G4)
157.30          | 369.99          | Fa (F4)
157.48          | 302.27          | Re (D4)
157.68          | 347.22          | Fa (F4)
157.70          | 316.57          | Mi (E4)
157.90          | 311.13          | Re (D4)
157.91          | 318.40          | Mi (E4)
157.98          | 311.13          | Re (D4)
157.99          | 312.93          | Mi (E4)
158.04          | 311.13          | Re (D4)
158.07          | 316.57          | Mi (E4)
158.13          | 387.49          | So (G4)
158.33          | 417.71          | La (A4)
158.34          | 415.30          | So (G4)
158.88          | 369.99          | Fa (F4)
159.80          | 372.14          | So (G4)
160.02          | 369.99          | Fa (F4)
160.06          | 372.14          | So (G4)
160.11          | 369.99          | Fa (F4)
160.12          | 372.14          | So (G4)
160.16          | 369.99          | Fa (F4)
160.22          | 372.14          | So (G4)
160.23          | 369.99          | Fa (F4)
160.24          | 372.14          | So (G4)
160.26          | 369.99          | Fa (F4)
160.48          | 140.20          | Do (C4)
161.49          | 293.66          | Re (D4)
161.51          | 277.18          | Do (C4)
161.58          | 282.03          | Re (D4)
161.67          | 327.73          | Mi (E4)
161.68          | 361.54          | Fa (F4)
161.74          | 372.14          | So (G4)
161.91          | 417.71          | La (A4)
162.03          | 415.30          | So (G4)
162.34          | 65.41           | Do (C4)
